ID,Simplified,Traditional,Pinyin,POS,Level,WebNo,WebPinyin,OCR,Variants,CEDICT
L1-0060,打球,打球,dǎ qiú,,1,1434,dǎ qiú,打球,,打球|打球[da3 qiu2]
L1-0061,大,大,dà,Adj,1,1447,dà,大,,大|大[da4]
L1-0062,大学,大學,dàxué,N,1,1517,dàxué,大学,,大學|大学[da4 xue2]
L1-0063,大学生,大學生,dàxuéshēng,N,1,1518,dàxuéshēng,大学生,,大學生|大学生[da4 xue2 sheng1]
L1-0064,到,到,dào,V,1,1654,dào,到,,到|到[dao4]
L1-0065,得到,得到,dédào,,1,1683,dé∥dào,得到,,得到|得到[de2 dao4]
L1-0066,地,地,de,Aux,1,1698,de,地,,地|地[de5]
L1-0067,的,的,de,Aux,1,1699,de,的,,的|的[de5]
L1-0068,等,等,děng,V,1,1714,děng,等（动）,,等|等[deng3]
L1-0069,地,地,dì,N,1,1755,dì,地,,地|地[di4]
L1-0070,地点,地點,dìdiǎn,N,1,1761,dìdiǎn,地点,,地點|地点[di4 dian3]
L1-0071,地方,地方,dìfang,N,1,1764,dìfang,地方,,地方|地方[di4 fang5]
L1-0072,地上,地上,dìshang,,1,1770,dìshang,地上,,地上|地上[di4 shang5]
L1-0073,地图,地圖,dìtú,N,1,1774,dìtú,地图,,地圖|地图[di4 tu2]
L1-0074,弟弟|弟,弟弟|弟,dìdi|dì,N,1,1785,dìdi|dì,弟弟｜弟,"[{""Simplified"": ""弟弟"", ""Pinyin"": ""dìdi"", ""POS"": ""N"", ""Traditional"": ""弟弟"", ""CEDICT"": ""弟弟|弟弟[di4 di5]""}, {""Simplified"": ""弟"", ""Pinyin"": ""dì"", ""POS"": ""N"", ""Traditional"": ""弟"", ""CEDICT"": ""弟|弟[di4]""}]",弟弟|弟弟[di4 di5]
L1-0075,第（第二）,第（第二）,dì (dì-èr),Prefix,1,1792,dì (dì-èr),第（第二）,"[{""Simplified"": ""第"", ""Pinyin"": ""dì"", ""POS"": ""Prefix"", ""Traditional"": ""第"", ""CEDICT"": ""第|第[di4]""}, {""Simplified"": ""第二"", ""Pinyin"": ""dì-èr"", ""POS"": ""Num"", ""Example"": ""1"", ""Traditional"": ""第二"", ""CEDICT"": ""第二|第二[di4 er4]""}]",第|第[di4]
L1-0076,点,點,diǎn,M/V/N,1,1801,diǎn,点,,點|点[dian3]
L1-0077,电,電,diàn,N,1,1811,diàn,电,,電|电[dian4]
L1-0078,电话,電話,diànhuà,N,1,1819,diànhuà,电话,,電話|电话[dian4 hua4]
L1-0079,电脑,電腦,diànnǎo,N,1,1822,diànnǎo,电脑,,電腦|电脑[dian4 nao3]
L1-0080,电视,電視,diànshì,N,1,1824,diànshì,电视,,電視|电视[dian4 shi4]
L1-0081,电视机,電視機,diànshìjī,N,1,1825,diànshìjī,电视机,,電視機|电视机[dian4 shi4 ji1]
L1-0082,电影,電影,diànyǐng,N,1,1834,diànyǐng,电影,,電影|电影[dian4 ying3]
L1-0083,电影院,電影院,diànyǐngyuàn,N,1,1835,diànyǐngyuàn,电影院,,電影院|电影院[dian4 ying3 yuan4]
L1-0084,东,東,dōng,N,1,1900,dōng,东,,東|东[dong1]
L1-0085,东边,東邊,dōngbian,N,1,1903,dōngbian,东边,,東邊|东边[dong1 bian5]
L1-0086,东西,東西,dōngxi,N,1,1908,dōngxi,东西,,東西|东西[dong1 xi5]
L1-0087,动,動,dòng,V,1,1918,dòng,动,,動|动[dong4]
L1-0088,动作,動作,dòngzuò,N,1,1941,dòngzuò,动作,,動作|动作[dong4 zuo4]
L1-0089,都,都,dōu,Adv,1,1947,dōu,都,,都|都[dou1]
L1-0090,读,讀,dú,V,1,1975,dú,读,,讀|读[du2]
L1-0091,读书,讀書,dúshū,,1,1976,dú∥shū,读书,,讀書|读书[du2 shu1]
L1-0092,对,對,duì,Adj,1,2018,duì,对（形）,,對|对[dui4]
L1-0093,对不起,對不起,duìbuqǐ,V,1,2022,duìbuqǐ,对不起,,對不起|对不起[dui4 bu5 qi3]
L1-0094,多,多,duō,Adj/Pron,1,2052,duō,多（形、代）,,多|多[duo1]
L1-0095,多少,多少,duōshao,Pron,1,2066,duōshao,多少,,多少|多少[duo1 shao5]
L1-0096,饿,餓,è,Adj/V,1,2096,è,饿,,餓|饿[e4]
L1-0097,儿子,兒子,érzi,N,1,2107,érzi,儿子,,兒子|儿子[er2 zi5]
L1-0098,二,二,èr,Num,1,2118,èr,二,,二|二[er4]
L1-0099,饭,飯,fàn,N,1,2230,fàn,饭,,飯|饭[fan4]
L1-0100,饭店,飯店,fàndiàn,N,1,2231,fàndiàn,饭店,,飯店|饭店[fan4 dian4]
L1-0101,房间,房間,fángjiān,N,1,2268,fángjiān,房间,,房間|房间[fang2 jian1]
L1-0102,房子,房子,fángzi,N,1,2270,fángzi,房子,,房子|房子[fang2 zi5]
L1-0103,放,放,fàng,V,1,2278,fàng,放,,放|放[fang4]
L1-0104,放假,放假,fàngjià,,1,2282,fàng∥jià,放假,,放假|放假[fang4 jia4]
L1-0105,放学,放學,fàngxué,,1,2289,fàng∥xué,放学,,放學|放学[fang4 xue2]
L1-0106,飞,飛,fēi,V,1,2293,fēi,飞,,飛|飞[fei1]
L1-0107,飞机,飛機,fēijī,N,1,2295,fēijī,飞机,,飛機|飞机[fei1 ji1]
L1-0108,非常,非常,fēicháng,Adv,1,2304,fēicháng,非常,,非常|非常[fei1 chang2]
L1-0109,分,分,fēn,N/M,1,2328,fēn,分（名、量）,,分|分[fen1]
L1-0110,风,風,fēng,N,1,2387,fēng,风,,風|风[feng1]
L1-0111,干,乾,gān,Adj,1,2559,gān,干,,乾|干[gan1]
L1-0112,干净,乾淨,gānjìng,Adj,1,2564,gānjìng,干净,,乾淨|干净[gan1 jing4]
L1-0113,干,幹,gàn,V,1,2605,gàn,干,,幹|干[gan4]
L1-0114,干什么,幹什麼,gàn shénme,,1,2609,gàn shénme,干什么,,幹什麼|干什么[gan4 shen2 me5]
L1-0115,高,高,gāo,Adj,1,2626,gāo,高,,高|高[gao1]
L1-0116,高兴,高興,gāoxìng,Adj,1,2660,gāoxìng,高兴,,高興|高兴[gao1 xing4]
L1-0117,告诉,告訴,gàosu,V,1,2678,gàosu,告诉,,告訴|告诉[gao4 su5]
